CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT282,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,Lung Adenocarcinoma,Fibroblast,Cancer-associated fibroblasts,eCAFs,"MMP14, POSTN",40657391,Integration of Multi-Scale Profiling and Machine Learning Reveals the Prognostic Role of Extracellular Matrix-Related Cancer-Associated Fibroblasts in Lung Adenocarcinoma,International Journal of Medical Sciences,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,independent dataset validation,"CIBERSORTx, Kaplan-Meier analysis",clinical analysis,"Subsequent Kaplan-Meier survival 

analysis revealed that in the TCGA cohort (p=0.0033, 

Figure 3A), GSE31210 cohort (p=0.034, Figure 3C), 

and GSE72094 cohort (p=0.012, Figure 3E), the 

high-infiltration group of eCAFs exhibited 

significantly worse survival outcomes compared to 

the low-infiltration group. Similarly, the 

high-infiltration group of SPP1+ macrophages 

demonstrated poorer survival in the TCGA cohort 

(p=0.0049, Figure 3B), GSE31210 cohort (p=0.0095, 

Figure 3D), and GSE72094 cohort (p=0.046, Figure 3F)."
CT283,Human,Lung,Lung,Lung Cancer,Lung Adenocarcinoma,Lung Adenocarcinoma,Macrophage,Macrophages,SPP1+ macrophages,SPP1,40657391,Integration of Multi-Scale Profiling and Machine Learning Reveals the Prognostic Role of Extracellular Matrix-Related Cancer-Associated Fibroblasts in Lung Adenocarcinoma,International Journal of Medical Sciences,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,independent dataset validation,"CIBERSORTx, Kaplan-Meier analysis",clinical analysis,"Subsequent Kaplan-Meier survival 

analysis revealed that in the TCGA cohort (p=0.0033, 

Figure 3A), GSE31210 cohort (p=0.034, Figure 3C), 

and GSE72094 cohort (p=0.012, Figure 3E), the 

high-infiltration group of eCAFs exhibited 

significantly worse survival outcomes compared to 

the low-infiltration group. Similarly, the 

high-infiltration group of SPP1+ macrophages 

demonstrated poorer survival in the TCGA cohort 

(p=0.0049, Figure 3B), GSE31210 cohort (p=0.0095, 

Figure 3D), and GSE72094 cohort (p=0.046, Figure 3F)."
CT284,Human,Digestive,Pancreas,Pancreatic Cancer,Pancreatic Adenocarcinoma,unknown,Macrophage,Macrophages,M0 macrophages,SPI1,40666516,Integration of single-cell RNA and bulk RNA sequencing revealed malignant ductal cell heterogeneity and prognosis signatures in pancreatic cancer,Frontiers in Immunology,2025,Single-cell RNA sequencing,scRNA-seq,clinical phenotype,Survival,Overall Survival,worse,clinical sample,independent dataset validation,"CIBERSORT, Kaplan-Meier analysis",clinical analysis,"""KM analysis showed that the high-risk group had significantly worse prognosis compared with the low-risk group (P < 0.001, Figure 5B)."" ""We found that M0 macrophages were significantly higher in the high-risk group, while CD8+ T cells and dendritic cells (DCs) were significantly lower."""
CT285,Human,Digestive system,Pancreas,Pancreatic cancer,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma,Fibroblast,Cancer-associated fibroblast (CAF),PHLDA1+ CAF,PHLDA1、FAP、COL1A1、POSTN,40688078,Integrated multiomics analysis identifies PHLDA1+ fibroblasts as prognostic biomarkers and mediators of biological functions in pancreatic cancer, Frontiers in Immunology,2025,Single-cell transcriptome,GSE154778、GSE155698 、 GSE231535,biological phenotype,Tumor Invasion,cell migration,promotes,clinical sample,Transwell migration assay,unknow,cell,"). Further enrichment analysis demonstrated that high PHLDA1 expression activated classic protumor pathways such as the EMT, KRAS, and TGFB pathways (Figure 7I). Moreover, patients with high PHLDA1 expression also presented increased expression of chemokines and TNF family members, including CCL5, CCR1, and TNFRSF1B (Figures 7J, K). Spatial transcriptome analysis can better observe the spatial location of cells based on more spatial information. Unrolling cell types into tissue sections revealed significant colocalization of CAFs and ductal cells, indicating a clear spatial interaction between the two (Figure 8A

To ascertain if PHLDA1 in CAFs aided in the migration of pancreatic cancer cells, transwell experiments were yd. As expected, PHLDA1 considerably increased the migration capacity of PATU-8988 and PANC-1 cells (Figure 10F)."
CT286,Human,Digestive system,Pancreas,Pancreatic cancer,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma,Fibroblast,Cancer-associated fibroblast (CAF),PHLDA1+ CAF,PHLDA1、FAP、COL1A1、POSTN,40688078,Integrated multiomics analysis identifies PHLDA1+ fibroblasts as prognostic biomarkers and mediators of biological functions in pancreatic cancer, Frontiers in Immunology,2025,Single-cell transcriptome,GSE154778、GSE155698 、 GSE231535,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"We found that the abundance of CAFs was significantly related to overall survival, with a higher proportion of CAFs associated with worse overall survival (Figures 2D, E). 

Through the examination of seven key genes’ expression levels, only PHLDA1 was highly expressed in CAFs in the pancreatic cancer group, suggesting that this gene could be a potential procancer CAF marker (Figure 7A).

According to survival analysis, patients with high PHLDA1 expression had a worse prognosis than patients with low PHLDA1 expression, which suggested that PHLDA1 could be a possible prognostic marker for pancreatic cancer (Figures 9A, B)."
CT287,Human,Digestive system,Pancreas,Pancreatic cancer,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma,Fibroblast,Cancer-associated fibroblast (CAF),PHLDA1+ CAF,PHLDA1、FAP、COL1A1、POSTN,40688078,Integrated multiomics analysis identifies PHLDA1+ fibroblasts as prognostic biomarkers and mediators of biological functions in pancreatic cancer, Frontiers in Immunology,2025,Single-cell transcriptome,GSE154778、GSE155698 、 GSE231535,biological phenotype,Tumor Growth,tumor cell proliferation,promotes,clinical sample,"CCK-8 assay, colony formation assay",CCK-8;MeilunBio，China,cell,"Notably, PHLDA1 was uniquely overexpressed in CAFs and correlated with the activation of key protumorigenic pathways, including EMT, KRAS, and TGF-β, underscoring its central role in modulating the crosstalk between CAFs and malignant ductal cells.

Following the previous analysis, immunofluorescence was performed on the tumor sample and adjuvant tumor sample, and the findings indicated that PHLDA1 was expressed primarily in CAFs in pancreatic cancer (Figure 9H). As demonstrated in Figures 10A–C, downregulating PHLDA1 in CAFs dramatically decreased tumor cell proliferation activity, and similar results were achieved in colony formation assays. Additionally, patient-derived organoids were cocultured with CAFs, and we discovered that when PHLDA1 expression was reduced in CAFs, organoid proliferation ability was limited (Figures 10D, E). "
CT288,Human,Lung,Lung,Lung Cancer,Lung adenocarcinoma,Lung adenocarcinoma,Epithelial cell,Malignant epithelial cells,Cluster 1 and Cluster 2,unknown,40787454,Single-cell transcriptomic profiling reveals the heterogeneity of epithelial cells in lung adenocarcinoma lymph node metastasis and develops a prognostic signature, Frontiers in Immunology,2025,Single-cell transcriptome,GSE131907,clinical phenotype,Survival,Overall Survival,poor,clinical sample,survival analysis,analysis,clinical information,"Specifically, although Cluster 1 and Cluster 2 were significantly associated with poorer prognosis (Figure 2G),

To evaluate the prognostic significance of the EAS signature, Kaplan–Meier survival analysis was applied, demonstrating that individuals with elevated EAS scores exhibited markedly poorer overall survival in the TCGA LUAD cohort. Additionally, validation using five independent GEO datasets (GSE31210, GSE37745, GSE50081, GSE68465, GSE3141) supported the model’s robustness, generalizability, and reproducibility across diverse clinical populations (Figure 5A–F)."
CT289,Human,oral,oral,Head and Neck Cancer,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Macrophage,Macrophages,M2 TAMs,CD163,40873572,Combined single-cell RNA-seq and bulk RNA-seq construction of M2 TAMs signature for predicting HNSCC prognosis and immunotherapy, Frontiers in Immunology,2025,Single-cell RNA sequencing and bulk RNA sequencing,GSE150430,clinical phenotype,Survival,Overall Survival,associated with poor prognosis,clinical sample,survival analysis,analysis,clinical information,"Survival curve based on TCGA data confirmed that M2 macrophages are strongly associated with poor prognosis in malignancies, while M1-type macrophages associated with better prognosis (Figures 1C, D). 

Kaplan-Meier survival analysis and log-rank tests revealed that patients in the high-risk group had a significantly poorer prognosis in GSE65858 (P<0.02, Figure 4A)."
CT290,Human,Oral,Oral cavity,Head and Neck Cancer,Oral Squamous Cell Carcinoma,Oral Squamous Cell Carcinoma,Fibroblast,Cancer-associated fibroblast,myofibroblastic CAF (myCAF),α-SMA,40906645,Spatial colocalization and molecular crosstalk of myofibroblastic CAFs and tumor cells shape lymph node metastasis in oral squamous cell carcinoma,PLOS Genetics,2025,"Single-cell transcriptome sequencing, Spatial transcriptome analysis","Single-cell transcriptome sequencing, Spatial transcriptome analysis",biological phenotype,Tumor Metastasis,Lymph Node Metastasis,promotes,clinical sample,Immunohistochemistry,unknown,protein,"Consistent with the findings from the spatial transcriptomic analysis, significantly higher absolute α-smooth muscle actin (α-SMA)–positive areas per square millimeter (myCAF densities) were detected in the ITFs of samples from patients with LNM compared with those of samples from patients without LNM (median: 19.14% [95% CI, 15.92%-21.99%] vs. 10.70% [95% CI, 9.06%-13.12%], respectively; P<0.001; Fig 7B)."
CT291,Human,Lung,Lung,Lung Cancer,Lung adenocarcinoma,non-small cell lung cancer,B cell,Memory B cells,FCRL4+ tumor-infiltrating memory B cells,FCRL4,40990023,FCRL4 and atypical transcriptional pattern in tumor infiltrating B cells from lung and renal cancer,Frontiers in Immunology,2025,"Bulk RNA sequencing, Single-cell RNA sequencing","Illumina HiSeq4000, 10x Chromium",clinical phenotype,Survival,Overall Survival,correlates with lower survival,clinical sample,TCGA dataset analysis,TCGA,clinical analysis,"Unnormalized FCRL4 expression weakly correlated with longer survival in LUAD (HR=0.72, p(HR)=0.035), whereas FCRL4 normalized to the expression of MS4A1(CD20) correlated with poor survival prognosis (HR=1.8, p(HR)=0.00013). This observation suggests that whereas infiltration with B cells (reflected in total unnormalized FCRL4 expression) was a weakly positive factor, higher proportion of FCRL4-expressing B cells represented a negative factor, probably related to the higher degree of B cells exhaustion and involvement of negative feedback mechanisms of BCR signaling"
CT292,Human,Bone Marrow,Bone Marrow,Multiple Myeloma,Multiple Myeloma,Multiple Myeloma,Cancer cell,Malignant plasma cells,PTPRG-high malignant plasma cells,PTPRG,41050668,Single-cell profiling uncovers PTPRG-driven stemness in malignant plasma cells and signatures of treatment failure in multiple myeloma, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE189460,clinical phenotype,Survival,Overall Survival,associated with worse survival,clinical sample,survival analysis,analysis,clinical information,"Notably, we found that PTPRG was highly expressed in the NR group of the GSE9782 dataset (GPL96 platform) (Figure 8C) and in worse survival malignant plasma cells (Figure 8E). Further prognostic validation of PTPRG using bulk datasets GSE9782(best cutoff:6.8011457193872), GSE2658 (best cutoff:9.417325114), and MMRF-CoMMpass (best cutoff: 2.119787759) revealed that samples with high PTPRG expression had significantly poorer prognosis (Figure 8F, Supplementary Figure S3)."
CT293,Human,Bone Marrow,Bone Marrow,Multiple Myeloma,Multiple Myeloma,Multiple Myeloma,Cancer cell,Malignant plasma cells,PTPRG-high malignant plasma cells,PTPRG,41050668,Single-cell profiling uncovers PTPRG-driven stemness in malignant plasma cells and signatures of treatment failure in multiple myeloma, Frontiers in Immunology,2025,Single-cell RNA sequencing,GSE189460,biological phenotype,Tumor Growth,Proliferation,Inhibit,cell lines,"siRNA knockdown, CCK-8 assay, apoptosis assay",BD Biosciences，Franklin Lakes，NJ，USA,cell,"To better reveal potential functional role of PTPRG in MM, we performed in vitro knockdown studies using two distinct siRNAs in U266 and NCI-H929 cell lines. Effective suppression of PTPRG expression was confirmed by qRT-PCR (Figure 9A, B), and subsequent CCK-8 assays revealed a significant reduction in cell viability upon PTPRG knockdown (Figure 9C, D). Consistently, both flow cytometric analysis and Western blotting demonstrated an increased apoptotic fraction in PTPRG-depleted cells (Figure 9E–H), indicating that PTPRG loss inhibits proliferation and promotes apoptosis in MM."
CT294,Human,Breast,Breast,Breast Cancer,Triple-negative breast cancer,Triple-negative breast cancer,Cancer cell,Tumor cell cluster S2,S2 tumor cluster,GNA15,41058682,Multiomics profiling identifies the poor prognostic role of a tumor cluster with GNA15 overexpression in triple-negative breast cancer, Frontiers in Immunology,2025,RT-qPCR,"Sparkjade, Shandong, China",biological phenotype,Tumor Invasion,Invasion and Migration,promotes,cell lines,"Cell functional assays (Transwell invasion, scratch assay)",BD Biosciences，San Jose，CA，USA,cell,"Initial assessment by RT–qPCR confirmed elevated GNA15 expression in TNBC cell lines (CAL-51 and MDA-MB-231), consistent with prior findings ( Figure 9A ).

 Subsequent CCK-8 and colony formation assays demonstrated that GNA15 knockdown dramatically suppressed proliferative capacity and compromised malignant phenotypes in TNBC cells ( Figures 9C, D ). Furthermore, GNA15 depletion substantially attenuated invasion rates in both cell lines ( Figure 9E ), while migration assays revealed significantly reduced migratory capacity in knockdown groups versus controls ( Figures 9F, G ). "
